,,,,,
,,,,,
NJ,,,,,
month,handle,revenue,hold,taxes,
May-19,"$6,401,492 ","$507,365 ",7.90%,"$221,972 ",
Jun-19,"$5,421,826 ","$457,180 ",8.40%,"$200,016 ",
Jul-19,"$4,394,498 ","$641,735 ",14.60%,"$280,759 ",
Aug-19,"$5,975,717 ","$938,426 ",15.70%,"$410,561 ",
Sep-19,"$10,153,756 ","$2,115,931 ",20.80%,"$925,720 ",
Oct-19,"$10,750,377 ","$2,137,874 ",19.90%,"$935,320 ",
Nov-19,"$11,112,760 ","$1,660,560 ",14.90%,"$726,495 ",
Dec-19,"$11,006,441 ","$1,527,485 ",13.90%,"$668,275 ",
Total-19,"$102,212,646 ","$14,212,952 ",13.38%,"$6,218,166 ",
,,,,,
,,,,,
MS,,,,,
month,handle,revenue,hold,taxes,
Jan-19,"$35,190,774 ","$2,793,238 ",7.90%,"$335,189 ",
Feb-19,"$25,148,135 ","$2,756,439 ",11.00%,"$330,773 ",
Mar-19,"$32,421,264 ","$4,898,726 ",15.10%,"$587,847 ",
Apr-19,"$19,188,763 ","$2,057,834 ",10.70%,"$246,940 ",
May-19,"$17,438,288 ","$1,191,967 ",6.80%,"$143,036 ",
Jun-19,"$15,190,666 ","$1,625,113 ",10.70%,"$195,014 ",
Jul-19,"$13,383,383 ","$1,053,776 ",7.90%,"$126,453 ",
Aug-19,"$19,876,370 ","$2,884,348 ",14.50%,"$346,122 ",
Sep-19,"$37,870,989 ","$5,631,583 ",14.90%,"$675,790 ",
Oct-19,"$48,019,481 ","$12,295,357 ",25.60%,"$1,475,443 ",
Nov-19,"$56,369,036 ","$3,784,071 ",6.70%,"$454,088 ",
Dec-19,"$49,076,433 ","$3,478,919 ",7.10%,"$417,470 ",
Total-19,"$369,173,582 ","$44,451,371 ",11.58%,"$5,334,165 ",
,,,,,
,,,,,
NV,,,,,
month,handle,revenue,hold,taxes,
Jan-19,"$497,482,993 ","$14,626,000 ",2.94%,"$987,255 ",
Feb-19,"$458,591,549 ","$35,816,000 ",7.81%,"$2,417,580 ",
Mar-19,"$596,752,294 ","$32,523,000 ",5.45%,"$2,195,303 ",
Apr-19,"$328,121,212 ","$21,656,000 ",6.60%,"$1,461,780 ",
May-19,"$317,380,282 ","$11,267,000 ",3.55%,"$760,523 ",
Jun-19,"$322,077,670 ","$16,587,000 ",5.15%,"$1,119,623 ",
Jul-19,"$235,659,955 ","$10,534,000 ",4.47%,"$711,045 ",
Aug-19,"$287,757,296 ","$18,733,000 ",6.51%,"$1,264,478 ",
Sep-19,"$546,358,867 ","$52,068,000 ",7.39%,"$3,514,590 ",
Oct-19,"$543,552,781 ","$47,887,000 ",8.81%,"$3,232,373 ",
Nov-19,"$614,118,812 ","$31,013,000 ",5.05%,"$2,093,378 ",
Dec-19,"$571,179,245 ","$36,327,000 ",6.36%,"$2,452,073 ",
Total-19,"$5,319,032,956 ","$329,037,000 ",5.84%,"$22,210,001 ",
,,,,,
,,,,,
RI,,,,,
month,handle,revenue,hold,taxes,
Jan-19,"$19,051,125 ","$159,978 ",0.84%,"$81,589 ",
Feb-19,"$20,686,618 ","($890,623)",-4.31%,"($454,218)",
Mar-19,"$23,582,716 ","$1,548,230 ",6.57%,"$789,597 ",
Apr-19,"$16,859,818 ","$1,970,110 ",11.69%,"$1,004,756 ",
May-19,"$18,900,152 ","$899,165 ",4.76%,"$458,574 ",
Jun-19,"$14,736,667 ","$2,149,999 ",14.59%,"$1,096,499 ",
Jul-19,"$8,321,947 ","$827,579 ",9.94%,"$422,065 ",
Aug-19,"$10,060,066 ","$851,788 ",8.47%,"$434,412 ",
Sep-19,"$22,195,789 ","$2,516,059 ",11.34%,"$1,283,190 ",
Oct-19,"$28,281,024 ","$2,457,136 ",8.69%,"$1,253,139 ",
Nov-19,"$31,465,062 ","$2,745,518 ",8.73%,"$1,400,214 ",
Total-19,"$214,140,984 ","$15,234,939 ",7.39%,"$7,769,817 ",
,,,,,
,,,,,
WV,,,,,
month,handle,revenue,hold,taxes,
Jan-19,"$19,740,035 ","$1,400,944.33 ",7.10%,"$140,094 ",
Feb-19,"$16,845,338 ","$228,285.87 ",1.40%,"$22,829 ",
Mar-19,"$15,276,806 ","$1,837,732.48 ",12.00%,"$183,773 ",
Apr-19,"$10,978,040 ","$699,184.92 ",6.40%,"$69,918 ",
May-19,"$9,429,073 ","$719,097.75 ",7.60%,"$71,910 ",
Jun-19,"$7,925,849 ","$425,215.50 ",5.40%,"$42,522 ",
Jul-19,"$6,944,761 ","$694,934 ",10.00%,"$69,493 ",
Aug-19,"$11,563,468 ","$1,536,864 ",13.30%,"$153,686 ",
Sep-19,"$27,508,921 ","$4,119,457 ",15.00%,"$411,946 ",
Oct-19,"$32,833,393 ","$3,197,892 ",9.70%,"$319,789 ",
Nov-19,"$35,268,743 ","$1,884,396 ",5.30%,"$188,440 ",
Dec-19,"$34,159,637 ","$2,709,585 ",7.90%,"$270,959 ",
Total-19,"$228,474,064 ","$19,453,589 ",8.43%,"$1,945,359 ",
,,,,,
,,,,,
NY,,,,,
month,handle,revenue,hold,taxes,
Jul-19,$ -,"$349,468 ",--,"$34,947 ",
Aug-19,$ -,"$828,152 ",--,"$82,815 ",
Sep-19,$ -,"$2,283,865 ",--,"$228,387 ",
Oct-19,$ -,"$2,233,227 ",--,"$223,323 ",
Nov-19,$ -,"$1,308,296 ",--,"$130,830 ",
Dec-19,$ -,"$780,418 ",--,"$78,042 ",
Total-19,"$262,633,701 ","$29,946,600 ",#DIV/0!,"$2,994,662 ",
,,,,,
,,,,,
IA,,,,,
month,handle,revenue,hold,taxes,
Aug-19,"$8,756,246 ","$2,161,688 ",25.20%,"$145,914 ",
Sep-19,"$38,528,921 ","$4,956,347 ",12.90%,"$334,553 ",
Oct-19,"$46,500,443 ","$5,658,243 ",12.20%,"$381,931 ",
Nov-19,"$59,344,806 ","$3,599,750 ",6.10%,"$242,983 ",
Dec-19,"$59,258,838 ","$2,904,257 ",4.90%,"$196,037 ",
Total-19,"$475,022,955 ","$51,315,599 ",12.26%,"$4,504,952 ",
,,,,,
,,,,,
IN,,,,,
month,handle,revenue,hold,taxes,
Sep-19,"$35,215,416 ","$8,558,974 ",24.30%,"$813,103 ",
Oct-19,"$91,697,393 ","$11,538,533 ",12.60%,"$1,096,161 ",
Nov-19,"$147,276,912 ","$10,593,321 ",7.20%,"$1,006,365 ",
Dec-19,"$161,808,924 ","$12,068,114 ",7.50%,"$1,146,471 ",
Total-19,"$1,076,125,687 ","$106,236,791 ",12.90%,"$9,388,003 ",
,,,,,
,,,,,
OR,,,,,
month,handle,revenue,hold,taxes,
Oct-19,"$5,603,136 ","$218,107 ",3.90%,"$196,296 ",
Nov-19,"$17,089,383 ","$943,687 ",5.50%,"$849,318 ",
Dec-19,"$22,375,049 ","$1,632,412 ",7.30%,"$1,469,171 ",
Total-19,"$1,557,191,900 ","$151,789,939 ",5.57%,"$15,964,888 ",
